KSC	21.248055555555556	48.683055555555555	VOR/DME
KEKED	21.29138888888889	48.52305555555556	NDB
PPD	20.35	49.06472222222222	VOR/DME
LENOV	21.010277777777777	49.33638888888889	NDB
ZLA	18.510555555555555	49.202777777777776	NDB
DBV	18.799444444444443	48.85805555555555	NDB
TIVON	19.528333333333332	48.660833333333336	NDB
SLC	19.115833333333335	48.45333333333333	VOR/DME
OKR	17.290277777777778	48.22388888888889	NDB
NIT	18.050555555555555	48.29055555555556	VOR/DME
JAN	17.544722222222223	48.17861111111111	VOR/DME
SOMID	17.717222222222222	48.50527777777778
TOVKA	16.926388888888887	48.27027777777778
MAREG	16.969166666666666	48.190555555555555
ABLOM	17.087777777777777	48.0675
LEDRI	17.182777777777776	48.090833333333336
XENAX	17.299722222222222	48.11944444444445
TABIN	18.084444444444443	48.015277777777776
ALAMU	18.33	47.73694444444445
ABITU	18.32472222222222	48.333333333333336
TEKVI	18.54111111111111	48.19111111111111
RUTOL	18.51	47.95805555555555
ANEXA	18.48611111111111	47.85472222222222
ERGOM	18.733055555555556	47.80833333333333
BADOV	18.815833333333334	48.02111111111111
PATAK	19.127222222222223	48.073055555555555
BALAP	19.25	48.06805555555555
AMRAX	19.36611111111111	48.091388888888886
LITKU	19.59861111111111	48.227777777777774
KULIN	19.45138888888889	48.492222222222225
TEPNI	19.85333333333333	48.69694444444445
TAGOD	19.615833333333335	48.51083333333333
TAKOS	20.266666666666666	48.5825
NEPAK	20.529166666666665	48.610277777777775
KUNOL	20.469444444444445	48.76277777777778
DEMOP	20.056944444444444	48.17472222222222
PITOK	20.371666666666666	48.32472222222222
ABULI	20.486666666666668	48.48416666666667
NITKO	20.8975	48.80638888888889
KENIN	21.927222222222223	48.361666666666665
MALBE	22.375	48.82388888888889
LADOB	22.448611111111113	48.95027777777778
ROBTU	21.815	48.89416666666666
TONPA	22.119722222222222	48.92166666666667
PODAN	21.439166666666665	49.41277777777778
ULPUK	19.624444444444446	48.776666666666664
KELEL	20.17527777777778	49.31361111111111
SUPAK	19.799722222222222	49.30361111111111
MEBAN	19.64666666666667	49.455
REDSI	19.639444444444443	49.233333333333334
BABKO	19.469444444444445	49.611666666666665
NIDOK	18.811666666666667	48.88583333333333
VAPUS	18.342777777777776	48.90833333333333
REVMA	18.700277777777778	49.49722222222222
BILNA	18.447222222222223	49.39361111111111
KOPAT	18.654444444444444	49.10638888888889
MAKAL	18.16583333333333	49.24611111111111
GODVI	18.283333333333335	48.94583333333333
VALPI	17.950277777777778	49.02472222222222
ROMIS	18.110833333333332	49.12722222222222
LALES	17.709444444444443	48.86527777777778
MAVOR	17.5375	48.82138888888889
ODNEM	17.16777777777778	48.85333333333333
PEPIK	17.079166666666666	48.78277777777778
REKLU	16.93777777777778	48.5875
BERVA	17.54111111111111	48.6175
UPALI	18.520833333333332	48.708888888888886
UPIVA	18.816944444444445	48.57861111111111
RUBOB	18.995555555555555	48.43527777777778
MOMEP	18.57111111111111	48.68694444444444
